Index	Cell	Lineage	Branch Length	Height	Height 0.95 HPD Lo	Height 0.95 HPD Hi	Height Median	Height Range Lo	Height Range Hi	Length	Length 0.95 HPD Lo	Length 0.95 HPD Hi	Length Median	Length Range Lo	Length Range Hi	Posterior	Rate	Rate 0.95 HPD Lo	Rate 0.95 HPD Hi	Rate Median	Rate Range Lo	Rate Range Hi
44	Cell23	X.1.1.1.1.2.1.1.1	0.130750485904189	2.46223288178606e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.123800294108511	0.0897318947392036	0.153196175158888	0.125292293479586	0.071744658031649	0.173295072511174		0.935071039924861	0.724253178947328	1.17352480501605	0.931241802650474	0.547025069642416	1.36053489730943
45	Cell24	X.1.1.1.1.1.1.1.1.2.2.1	0.0813553229280988	2.52877971642893e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0824857416904961	0.0600562298054541	0.102003122360514	0.0823413320877868	0.0425715987652398	0.117999014385215		1.23704698830759	0.905824448700593	1.60732304319729	1.21373030164448	0.793026976799849	1.93795897612199
46	Cell25	X.1.1.1.2.1.1.1.2.2.2.2	0.0775735391952778	2.36795819937533e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0778741894499679	0.0577235409039617	0.0975822506999753	0.0774708648477163	0.0492043177599875	0.115022261238066		1.3773267030196	1.05519075761981	1.7949265788074	1.37257056176683	0.849394313917513	1.94511616821025
47	Cell26	X.1.1.1.2.2.2.2	0.12194921698526	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.135745281636624	0.100142365268475	0.174621671544033	0.134266673039431	0.0747457054211628	0.207492135279681		0.889039972176511	0.665284280413865	1.14310738005173	0.874364518510703	0.577553887814637	1.43541246628302
48	Cell27	X.1.1.1.1.2.2.1.1	0.139017987056651	2.45668731223249e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.127547263879516	0.0941221594403984	0.156329876121286	0.129662354085175	0.0759614190417109	0.167865843790665		0.949138016049733	0.730565166232856	1.19673643412225	0.948276656483385	0.6155813882246	1.42645253781386
49	Cell28	X.1.1.1.1.1.1.1.2.2.2.1	0.064326672134957	2.45668731223249e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.064326672134957	0.0427040968176182	0.0843376146668026	0.0635607089778891	0.0336714901438279	0.106661069755809		1.13929980214921	0.761004695898637	1.49583943179904	1.12709637609261	0.706740221453376	1.9419991106122
50	Cell29	X.1.1.1.1.2.2.2.1.1	0.101191416170024	2.44005060357177e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.106365854511001	0.0767062733272491	0.138346721685248	0.107520486822457	0.055009799775242	0.152742063829616		0.776515938507703	0.550788134494628	1.00650207491404	0.770630676744657	0.487679115119531	1.35193736530655
51	Cell3	X.1.1.1.1.1.2.1.1.2.1	0.10229413031438	2.45114174267892e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.102684947624201	0.0818438215001674	0.122445199335493	0.102245350896217	0.0676347549729097	0.142053215246815		0.990395996233803	0.730271787374992	1.25416878780005	0.97976381764203	0.600527906777172	1.52032273272
52	Cell30	X.1.1.1.1.2.2.1.2.2.1	0.0948816832742287	2.44005060357177e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0953515993986914	0.0682491797709985	0.120435709783605	0.0952175737801503	0.0567947753954467	0.14059617480077		0.901887390950027	0.666621112416394	1.1487662534358	0.897023299955929	0.486008939560195	1.42418899664676
53	Cell31	X.1.1.1.1.2.1.2.1	0.104060678537734	2.46223288178606e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.104060678537734	0.0749798735900082	0.129998707044207	0.104090369043557	0.0630551432850807	0.160564859443825		0.80897302570527	0.570760017261767	1.05433276446579	0.802512922108804	0.509879162757206	1.40233740424019
54	Cell32	X.1.1.1.2.1.1.1.2.2.1	0.103417523015065	2.50105186866107e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.107925088123633	0.0861323916430634	0.130511846662506	0.107729873933675	0.0696265690044798	0.143779187739342		1.02759691298262	0.783647678371985	1.26945478277461	1.0132360913273	0.698498047511192	1.84293663160212
55	Cell33	X.1.1.1.1.2.1.1.2.2	0.10860085652307	2.49550629910749e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.108124019383642	0.0823378790167243	0.133359977155382	0.107784816777441	0.071744658031649	0.147898575337521		1.18928651758248	0.891032743222135	1.48745179413528	1.18471735423904	0.767359768834291	1.74916374576419
56	Cell34	X.1.1.1.2.1.2.1	0.116456612451235	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.116456612451235	0.0874042544443769	0.144146125953208	0.116451340021583	0.0778597294802031	0.174371691694495		1.03454176779372	0.791675558136468	1.30549870594673	1.02349509909379	0.696131688054561	1.51435284807368
57	Cell35	X.1.1.1.1.1.1.1.2.2.2.2	0.064326672134957	2.45668731223249e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.064326672134957	0.0427040968176182	0.0843376146668026	0.0635607089778891	0.0336714901438279	0.106661069755809		0.980349714579714	0.656467076468717	1.31252094768077	0.969248581277769	0.540126110867773	1.8051248743804
58	Cell36	X.1.1.1.2.1.1.1.2.1	0.117659185687022	2.47886959044678e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.111367279697634	0.0875602726140732	0.136689868146727	0.113067427432456	0.0677822432414121	0.153972123031036		0.936688300164988	0.689536054606017	1.19060811493683	0.929164283148563	0.644639870163407	1.33912056958631
