,SRR6710256,SRR6710257,SRR6710258,SRR6710259,SRR6710260,SRR6710261,SRR6710262,SRR6710263,SRR6710264,SRR6710265,SRR6710266,SRR6710267,SRR6710268,SRR6710269,SRR6710270,SRR6710271,SRR6710272,SRR6710273,SRR6710274,SRR6710275,SRR6710276,SRR6710277,SRR6710278,SRR6710279,SRR6710280,SRR6710281,SRR6710282,SRR6710283,SRR6710284,SRR6710285,SRR6710286,SRR6710287,SRR6710288,SRR6710289,SRR6710290,SRR6710291,SRR6710292,SRR6710293,SRR6710294,SRR6710295,SRR6710296,SRR6710297,SRR6710298,SRR6710299,SRR6710300,SRR6710301
KCTD21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD3,0,0,0,0,0,0,0,37,262,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0
KCTD7,0,0,0,0,0,6,0,0,0,0,0,0,1150,56,0,0,2,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,4,138,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
KCTD9P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KCTD9P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
KDELC2,0,0,0,0,94,0,0,0,0,0,0,0,20,0,0,0,2,88,0,0,0,0,2,14,2,0,0,0,0,0,46,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0
KDELR1,6,0,34,296,2093,0,2,0,0,20,6,0,101,485,0,414,79,13,4,6,0,0,28,0,0,0,3132,0,0,0,6,6,12,0,0,0,0,94,1080,48,0,0,0,0,154,0
KDELR2,593,40,247,929,62,4,952,728,21,1366,24,11,95,182,2616,430,20,209,4,10,1181,490,68,0,693,16,4,0,2,0,218,0,0,230,3065,0,1,0,63,111,0,0,0,458,1935,12
KDELR3,0,3,2,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,4580,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,1,0,0,0
KDF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDM1A,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,62,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0
KDM1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
KDM2A,128,148,736,975,1962,10,60,176,1050,760,136,718,19,840,42,40,161,135,635,139,301,1334,48,612,1,0,4525,114,3008,0,24,4,1548,271,992,3,2,1,0,32,0,2,1,40,0,2
